,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
1106,4,8,20,50,36.0,9,0.00011111111111111112,0.00011111111111111112,0.0,2,3,36,35,13.666666666666666,141.33333333333334,7.0
1107,4,8,20,50,68.0,8,0.000875,0.000625,0.00025,3,2,39,25,27.125,234.75,4.0
1108,4,8,20,50,36.0,9,0.0006666666666666666,0.0006666666666666666,0.0,3,3,41,27,25.11111111111111,384.3333333333333,6.0
1109,4,8,20,50,73.0,8,0.033125,0.00025,0.032875,5,1,48,21,27.75,106.0,2.0
1110,4,8,20,50,94.0,8,0.096625,0.0005,0.096125,3,1,47,21,9.75,60.375,6.0
1111,4,8,20,50,73.5,8,0.0,0.0,0.0,2,2,49,46,10.0,98.0,7.0
1112,4,8,20,50,69.0,8,0.0125,0.000375,0.012125,4,2,49,38,27.875,240.0,4.0
1113,4,8,20,50,73.5,8,0.0,0.0,0.0,2,2,49,41,10.125,98.0,7.0
1114,4,8,20,50,82.0,8,0.0,0.0,0.0,1,1,41,41,3.5,16.625,8.0
1115,4,8,20,50,56.0,7,0.013428571428571429,0.0005714285714285715,0.012857142857142857,4,2,50,26,25.857142857142858,314.85714285714283,5.0
1116,4,8,20,50,78.0,8,0.000125,0.000125,0.0,2,1,43,35,7.125,43.875,5.0
1117,4,8,20,50,68.0,8,0.0,0.0,0.0,1,2,34,34,7.125,55.0,8.0
1118,4,8,20,50,56.0,7,0.0005714285714285715,0.0005714285714285715,0.0,3,1,31,21,13.857142857142858,70.71428571428571,3.0
1119,4,8,20,50,60.0,7,0.0024285714285714284,0.00028571428571428574,0.002142857142857143,3,2,33,23,20.857142857142858,219.42857142857142,6.0
1120,4,8,20,50,26.0,9,0.0,0.0,0.0,1,4,26,26,12.777777777777779,116.88888888888889,8.0
1121,4,8,20,50,83.0,7,0.02057142857142857,0.00028571428571428574,0.020285714285714285,3,1,45,21,12.857142857142858,93.0,4.0
1122,4,8,20,50,72.0,8,1.205125,0.0005,1.204625,6,1,50,21,38.125,134.0,2.0
1123,4,8,20,50,72.0,8,0.053375,0.000625,0.05275,5,2,46,27,57.0,336.25,3.0
1124,4,8,20,50,46.0,7,0.0017142857142857142,0.00042857142857142855,0.0012857142857142856,3,2,46,25,15.142857142857142,220.57142857142858,6.0
1125,4,8,20,50,53.0,8,0.0,0.0,0.0,2,1,30,23,7.625,46.75,4.0
1126,4,8,20,50,44.0,7,0.009142857142857144,0.0005714285714285715,0.008571428571428572,4,2,34,21,30.571428571428573,349.7142857142857,4.0
1127,4,8,20,50,52.0,8,0.005,0.000375,0.004625,4,2,43,26,32.25,173.0,3.0
1128,4,8,20,50,80.0,8,0.001375,0.0005,0.000875,2,1,42,38,5.625,43.875,7.0
1129,4,8,20,50,62.0,8,0.036875,0.0005,0.036375,5,1,41,20,28.625,106.0,2.0
1130,4,8,20,50,64.0,7,0.0064285714285714285,0.00042857142857142855,0.006,3,1,44,20,13.714285714285714,104.14285714285714,4.0
